"","ID","site","clone","clone.new","row","col","F1","F2","F23","F24","F24.segment_L","F24.segment_P","F24.segment","X24.GCC","X24.RCC","F25","F25.segment_P","F25.segment_L","F25.segment","X25.GCC","X25.RCC"
"415","H9x39","H","42","64","9","39","3",3,2,3,0.16854761,0.163188952,0.165868281,0.452860192,0.331415125,3,0.336454324,0.298030391,0.317242358,0.464774041,0.367848549
"462","H10x39","H","68","61","10","39","1",3,1,3,0.268586895,0.277317268,0.272952082,0.458062871,0.325540747,3,0.337917625,0.330376511,0.334147068,0.464367315,0.365011923
"509","H11x39","H","85","unique_genotype_19","11","39","3",3,2,2,0.292798207,0.285600428,0.289199318,0.474103108,0.343675637,2,0.262167408,0.238550604,0.250359006,0.450146058,0.370629566
"40","H1x40","H","48",NA,"1","40",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"87","H2x40","H","94","94","2","40","3",3,2,3,0.302759093,0.301963261,0.302361177,0.487171026,0.317621467,4,0.357882881,0.371466545,0.364674713,0.480379201,0.351896913
"134","H3x40","H","88","88","3","40","1",2,1,3,0.300351343,0.252274416,0.27631288,0.468218796,0.314237369,4,0.377909508,0.423117311,0.400513409,0.463090245,0.341772074
"181","H4x40","H","45","48","4","40","0",1,0,2,0.097276022,0.13397651,0.115626266,0.467497479,0.337731406,3,0.199186335,0.15932324,0.179254788,0.451359133,0.354697983
"228","H5x40","H","26","26","5","40","2",3,2,3,0.300170841,0.280622015,0.290396428,0.481230151,0.322359902,4,0.380147549,0.413359557,0.396753553,0.465860665,0.349343436
"275","H6x40","H","33","33","6","40","1",3,2,4,0.344189158,0.373738132,0.358963645,0.488464475,0.323893848,4,0.407681486,0.417128177,0.412404832,0.474966708,0.348796527
"322","H7x40","H","30","43","7","40","1",2,0,3,0.147875281,0.146077296,0.146976289,0.461191073,0.322607982,3,0.171480848,0.136302304,0.153891576,0.448680251,0.33836111
"369","H8x40","H","49","49","8","40","0",1,0,2,0.085814849,0.115522865,0.100668857,0.455453329,0.327312484,2,0.20359407,0.13923163,0.17141285,0.454642458,0.359196452
"416","H9x40","H","73","73","9","40","1",2,1,3,0.346970944,0.332540797,0.339755871,0.473403014,0.336961234,4,0.378309142,0.394408981,0.386359062,0.474432616,0.382616143
"463","H10x40","H","94","unique_genotype_20","10","40","0",1,0,5,0.022003738,0.036727796,0.029365767,0.443787211,0.332389742,1,0.011776118,0.006259973,0.009018046,0.446525126,0.348269415
"510","H11x40","H","64","64","11","40","2",2,2,3,0.17894872,0.219749637,0.199349179,0.444562171,0.322116098,4,0.467550472,0.37109115,0.419320811,0.4650296,0.340843305
"41","H1x41","H","80","80","1","41","1",2,1,4,0.272685104,0.270616261,0.271650682,0.474315531,0.328413059,3,0.415388121,0.36198936,0.388688741,0.464403789,0.352412587
