"","ID","site","clone","row","col","VS_24","FR_24","GCC_24","RCC_24","VS_25","FR_25","GCC_25","RCC_25"
"328","H7x46","H","79","7","46",3,0.37441749,0.467120914,0.314209499,4,0.433192006,0.482807371,0.351540076
"375","H8x46","H","unique_genotype_17","8","46",4,0.439306818,0.480047691,0.310615715,2,0.119344695,0.450449248,0.34656449
"422","H9x46","H","54","9","46",3,0.38589926,0.484696735,0.333900022,4,0.546737307,0.493997431,0.34897274
"469","H10x46","H",NA,"10","46",NA,NA,NA,NA,NA,NA,NA,NA
"516","H11x46","H","33","11","46",4,0.381474827,0.46693257,0.320698722,4,0.389349308,0.471863307,0.357992766
"47","H1x47","H","90","1","47",2,0.058309491,0.453131555,0.314070599,2,0.118746065,0.445978082,0.359573665
"94","H2x47","H","102","2","47",3,0.263330134,0.46915412,0.317518983,3,0.450508599,0.468222036,0.344718188
"141","H3x47","H","71","3","47",4,0.361225172,0.488445628,0.323512408,4,0.404643687,0.468825198,0.341632108
"188","H4x47","H","62","4","47",3,0.145500908,0.470182646,0.326131898,3,0.40700766,0.46832611,0.360437224
"235","H5x47","H","85","5","47",2,0.133534559,0.472812284,0.335434722,3,0.257438124,0.461280273,0.360489509
"282","H6x47","H","59","6","47",2,0.107908823,0.45246408,0.32540553,3,0.171192346,0.440794518,0.338129376
"329","H7x47","H","80","7","47",3,0.284620727,0.470321075,0.32402583,3,0.296060055,0.455867565,0.353198881
"376","H8x47","H","40","8","47",3,0.166765026,0.468182109,0.334868034,2,0.142394234,0.458208908,0.36665735
"423","H9x47","H","49","9","47",3,0.135147401,0.446514669,0.326285862,3,0.244026746,0.451312585,0.331351134
"470","H10x47","H","47","10","47",4,0.332261462,0.451079521,0.316061252,3,0.367339132,0.473228499,0.364998507
"517","H11x47","H","unique_genotype_18","11","47",2,0.197509566,0.46622206,0.33481211,3,0.328133891,0.479229892,0.368930886
